STATE, Bush,Kerry,All Others,Total Vote
AL,"1,176,394","693,933","13,122","1,883,449"
AK,"190,889","111,025","10,684","312,598"
AZ,"1,104,294","893,524","14,767","2,012,585"
AR,"572,898","469,953","12,094","1,054,945"
CA,"5,509,826","6,745,485","166,541","12,421,852"
CO,"1,101,255","1,001,732","27,343","2,130,330"
CT,"693,826","857,488","27,455","1,578,769"
DE,"171,660","200,152","3,378","375,190"
DC,"21,256","202,970","3,360","227,586"
FL,"3,964,522","3,583,544","61,744","7,609,810"
GA,"1,914,254","1,366,149","21,472","3,301,875"
HI,"194,191","231,708","3,114","429,013"
ID,"409,235","181,098","8,114","598,447"
IL,"2,345,946","2,891,550","36,826","5,274,322"
IN,"1,479,438","969,011","19,553","2,468,002"
IA,"751,957","741,898","13,053","1,506,908"
KS,"736,456","434,993","16,307","1,187,756"
KY,"1,069,439","712,733","13,710","1,795,882"
LA,"1,102,169","820,299","20,638","1,943,106"
ME,"330,201","396,842","13,709","740,752"
MD,"1,024,703","1,334,493","27,482","2,386,678"
MA,"1,071,109","1,803,800","37,479","2,912,388"
MI,"2,313,746","2,479,183","46,323","4,839,252"
MN,"1,346,695","1,445,014","36,678","2,828,387"
MS,"684,981","458,094","9,070","1,152,145"
MO,"1,455,713","1,259,171","16,480","2,731,364"
MT,"266,063","173,710","10,672","450,445"
NE,"512,814","254,328","11,044","778,186"
NV,"418,690","397,190","13,707","829,587"
NH,"331,237","340,511","5,990","677,738"
NJ,"1,670,003","1,911,430","30,258","3,611,691"
NM,"376,930","370,942","8,432","756,304"
NY,"2,962,567","4,314,280","114,189","7,391,036"
NC,"1,961,166","1,525,849","13,992","3,501,007"
ND,"196,651","111,052","5,130","312,833"
OH,"2,859,768","2,741,167","26,973","5,627,908"
OK,"959,792","503,966",0,"1,463,758"
OR,"866,831","943,163","26,788","1,836,782"
PA,"2,793,847","2,938,095","37,648","5,769,590"
RI,"169,046","259,765","8,323","437,134"
SC,"937,974","661,699","18,057","1,617,730"
SD,"232,584","149,244","6,387","388,215"
TN,"1,384,375","1,036,477","16,467","2,437,319"
TX,"4,526,917","2,832,704","51,144","7,410,765"
UT,"663,742","241,199","22,903","927,844"
VT,"121,180","184,067","7,062","312,309"
VA,"1,716,959","1,454,742","26,666","3,198,367"
WA,"1,304,894","1,510,201","43,989","2,859,084"
WV,"423,778","326,541","5,568","755,887"
WI,"1,478,120","1,489,504","29,383","2,997,007"
WY,"167,629","70,776","5,023","243,428"
